State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Karnataka,Koppal,2010,11.3,0,0,20.4,101,70.2,94.9,288.2,72.9,45.6,96.2,0,800.7
Karnataka,Mandya,2004,0.8,6,8.5,102.3,219.1,63.4,102,29.7,162.5,162.4,31.8,0,888.5
Karnataka,Mandya,2005,26.2,14.5,3.9,79.2,183.8,85.7,116.9,142.5,88.5,375.4,78,17.1,1211.7
Karnataka,Mandya,2006,0,0,63.5,16,108.9,97.6,16.5,24.7,41.8,40.3,76.1,0.2,485.6
Karnataka,Mandya,2007,0,0,0,21.9,86.7,69,43.6,118.8,97.5,237.7,24.6,9.6,709.4
Karnataka,Mandya,2008,0,6.6,141.8,23,34.9,89.7,85.8,112.7,56.5,124.3,14,1.9,691.2
Karnataka,Mandya,2009,0,0,5.5,27.7,64.6,36.6,41,157.6,216.3,55.4,62.4,10.4,677.5
Karnataka,Mandya,2010,7,0,10.8,94.5,88.1,91.2,91.6,113.8,98.6,102,183.5,2.2,883.3
Karnataka,Mysore,2004,0,0,8.4,90.7,200.9,48.6,100.3,46.5,94,119.7,34.5,0,743.6
Karnataka,Mysore,2005,11.7,4.1,1.8,76.6,91.9,102.6,141.7,111.2,107.8,285.3,93.3,8.7,1036.7
Karnataka,Mysore,2006,0,0,49.4,69,146.6,101.9,61.9,57.8,67.2,76.7,68,0,698.5
Karnataka,Mysore,2007,0,0.2,0.5,15.8,84,118,115.7,155.5,92.6,161.5,56,23.9,823.7
Karnataka,Mysore,2008,0,9.7,142.4,35.2,103.6,69.8,106.5,108.3,50.5,137.2,9.5,0.3,773.0
Karnataka,Mysore,2009,0,0,40,32.3,94.9,30.9,171.2,137.3,154.6,66.4,86.6,9.4,823.6
Karnataka,Mysore,2010,0,0.1,3.2,152.2,11.7,93.7,98.9,120.4,72.5,145.9,220.9,4.4,923.9
Karnataka,Raichur,2004,8.4,0,0,29.3,110.9,50.2,96,26.2,139.2,66.4,5.5,0,532.1
Karnataka,Raichur,2005,3.4,3.5,5.4,54.7,26.6,53.1,163.8,101.4,121.7,179,4.1,0.5,717.2
Karnataka,Raichur,2006,0,0,39.3,9.8,56.2,77.5,23.7,25.7,161.4,33.9,29.6,0,457.1
Karnataka,Raichur,2007,0,0,0,17,37.8,253.1,56,76.3,204.4,58.3,4.9,0,707.8
Karnataka,Raichur,2008,0,7.3,147.9,3.3,23.3,18.7,47.2,101.8,144.2,64.7,25.1,0,583.5
Karnataka,Raichur,2009,0,0,2.7,3.8,45.1,67,13.4,128,220.5,698.1,61.6,5.7,1245.9
Karnataka,Raichur,2010,16.4,0,0,4.9,23.4,107.4,141.6,227,102.4,54.9,37.1,2.7,717.8
Karnataka,Shimoga,2004,0,0,0.9,28.8,137.8,466.6,324.9,524.6,82.8,65.1,18.3,4,1653.8
Karnataka,Shimoga,2005,1.1,0,0,97,51.2,410.4,795.7,411.9,205.5,156.3,9.2,0.6,2138.9
Karnataka,Shimoga,2006,0.1,0,4.3,0.3,126.1,342.9,634.2,464.2,175.6,44.4,58.2,0,1850.3
Karnataka,Shimoga,2007,0,0,0,19.9,25.7,575,666,653.3,278.2,120.3,31.1,3.9,2373.4
Karnataka,Shimoga,2008,0,12.8,149,25.7,43.7,414.6,446.5,642.2,202.9,63.8,7.7,0,2008.9
Karnataka,Shimoga,2009,0,0,31,18.2,103.5,195.2,1323.5,213.9,352.1,181.4,84.9,19.2,2522.9
Karnataka,Shimoga,2010,17.1,0,1.8,60.1,87.2,383,706.4,502.1,359.6,182.2,176.9,2.3,2478.7
Karnataka,Tumkur,2004,0,0,13.4,66.2,176.5,55.5,139.6,37.1,127.1,120.1,25,0,760.5
